id,link,dimension_image_url,ocr_text_snippet,parsed_overall,parsed_seat_height,parsed_seat_depth,status
oris-sectional--ivory,https://livearva.com/products/oris-sectional,,,,,,skipped
oris-sectional--beige,https://livearva.com/products/oris-sectional,,,,,,skipped
oris-sectional--light-gray,https://livearva.com/products/oris-sectional,,,,,,skipped
oris-sectional--charcoal,https://livearva.com/products/oris-sectional,,,,,,skipped
oris-sectional--camel,https://livearva.com/products/oris-sectional,,,,,,skipped
oris-sectional--warm-sand,https://livearva.com/products/oris-sectional,,,,,,skipped
oris-sectional--stone,https://livearva.com/products/oris-sectional,,,,,,skipped
oris-sectional--olive-green,https://livearva.com/products/oris-sectional,,,,,,skipped
oris-sectional--sage-green,https://livearva.com/products/oris-sectional,,,,,,skipped
oris-sectional--terracotta,https://livearva.com/products/oris-sectional,,,,,,skipped
oris-sectional--rust,https://livearva.com/products/oris-sectional,,,,,,skipped
oris-sectional--inky-blue,https://livearva.com/products/oris-sectional,,,,,,skipped
oris-3-seater--taupe,https://livearva.com/products/oris-3-seater,,,,,,skipped
oris-3-seater--ivory,https://livearva.com/products/oris-3-seater,,,,,,skipped
oris-3-seater--beige,https://livearva.com/products/oris-3-seater,,,,,,skipped
oris-3-seater--light-gray,https://livearva.com/products/oris-3-seater,,,,,,skipped
oris-3-seater--charcoal,https://livearva.com/products/oris-3-seater,,,,,,skipped
oris-3-seater--camel,https://livearva.com/products/oris-3-seater,,,,,,skipped
oris-3-seater--warm-sand,https://livearva.com/products/oris-3-seater,,,,,,skipped
oris-3-seater--stone,https://livearva.com/products/oris-3-seater,,,,,,skipped
oris-3-seater--olive-green,https://livearva.com/products/oris-3-seater,,,,,,skipped
oris-3-seater--sage-green,https://livearva.com/products/oris-3-seater,,,,,,skipped
oris-3-seater--terracotta,https://livearva.com/products/oris-3-seater,,,,,,skipped
oris-3-seater--rust,https://livearva.com/products/oris-3-seater,,,,,,skipped
oris-3-seater--inky-blue,https://livearva.com/products/oris-3-seater,,,,,,skipped
oris-loveseat--taupe,https://livearva.com/products/oris-loveseat,,,,,,skipped
oris-loveseat--ivory,https://livearva.com/products/oris-loveseat,,,,,,skipped
oris-loveseat--beige,https://livearva.com/products/oris-loveseat,,,,,,skipped
oris-loveseat--light-gray,https://livearva.com/products/oris-loveseat,,,,,,skipped
oris-loveseat--charcoal,https://livearva.com/products/oris-loveseat,,,,,,skipped
oris-loveseat--camel,https://livearva.com/products/oris-loveseat,,,,,,skipped
oris-loveseat--warm-sand,https://livearva.com/products/oris-loveseat,,,,,,skipped
oris-loveseat--stone,https://livearva.com/products/oris-loveseat,,,,,,skipped
oris-loveseat--olive-green,https://livearva.com/products/oris-loveseat,,,,,,skipped
oris-loveseat--sage-green,https://livearva.com/products/oris-loveseat,,,,,,skipped
oris-loveseat--terracotta,https://livearva.com/products/oris-loveseat,,,,,,skipped
oris-loveseat--rust,https://livearva.com/products/oris-loveseat,,,,,,skipped
oris-loveseat--inky-blue,https://livearva.com/products/oris-loveseat,,,,,,skipped
